JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57711,Strada Dej,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57843,Strada Dornei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62201,Strada Elie Carafoli (Strada Penteleu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59260,Strada Mirceşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59393,Strada Mureş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59806,Strada Elie Carafoli (Strada Penteleu) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59258,"Strada Petre Mircea, căpitan aviator (Strada Cpt. Mircea Petre, Strada Cpt. av. Mircea Petre)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60516,Strada Scărişoara,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60758,Strada Soveja,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,9,ȘCOALA GIMNAZIALĂ NR.13,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Petrila , Nr. 10 - 12",Bld - PETRILA - 10 - 12; CP 013582,BUCUREŞTI SECTORUL 1,62689,Strada Alexandru Bratu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62699,Strada Cecilia Cuţescu Ştorck (Strada Cecilia Cuţescu Ştoeck),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62742,Drumul Costeşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62741,Drumul Cristeşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57926,Strada Dunăceşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62743,Drumul Homorod,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58873,Strada Libelulei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58936,Strada Lonea,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59056,Strada Malul Mic,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62746,Drumul Movileni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61780,Intrarea Nadeş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61779,Strada Nadeş,integral#,
