JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59240,Strada Ion Mincu (Strada Arh. Ion Mincu),numere impare nr. 25 -35#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61882,Strada Mahatma Gandhi (Strada Sg. Gheorghe Militaru),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59321,Strada Monetăriei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,1085687,Şoseaua Pavel Dimitrievici Kiseleff,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58761,Şoseaua Pavel Dimitrievici Kiseleff (Şoseaua Dimitrievici Pavel Kiseleff),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59222,Strada Mahatma Gandhi (Strada Sg. Gheorghe Militaru) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57847,Strada Sg. Vasile Dorobanţu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56951,Intrarea Ştefan Burcuş (Intrarea Arh. Ştefan Burcuş),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56952,Strada Ştefan Burcuş (Strada Arh. Ştefan Burcuş),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61161,Strada Tuberozelor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,65,COLEGIUL NAŢIONAL ”I.L. CARAGIALE”,"Loc. BUCUREŞTI SECTORUL 1,  Calea Dorobanți (Calea Dorobanţilor) (D) , Nr. 163",Cal. - DOROBANȚILOR - 163; CP. 010564,BUCUREŞTI SECTORUL 1,56292,Aleea Alexandru,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59394,Strada Andrei Mureşanu (Strada Poet Andrei Mureşanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56355,Strada Ankara,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61759,Strada Atena (Aleea Zoe),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62815,Bulevardul Aviatorilor,numere impare nr. 1 -71# numere pare nr. 2 -72#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56480,Bulevardul Aviatorilor (D),numere impare nr. 1 -71# numere pare nr. 2 -72#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56481,Piaţa Charles De Gaulle (Piaţa Aviatorilor),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57728,Strada Cpt. Gheorghe Demetriade (Strada Cpt. av. Gh. Demetriade),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57679,Strada Lt. D. Darian (Strada Lt. com. av. Dumitru Darian),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62092,Strada Modrogan (Strada Ştefan Gheorghiu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62813,Piaţa Napoleon III,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59728,Strada Paris,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57020,Strada Rabat (Strada Modrogan),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60730,Strada Sofia,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58300,Strada Modrogan (Strada Ştefan Gheorghiu) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61068,Strada Tirana,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61725,Strada Venezuela,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61590,Strada Atena (Aleea Zoe) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,66,COLEGIUL NAŢIONAL ”I.L. CARAGIALE”,"Loc. BUCUREŞTI SECTORUL 1,  Calea Dorobanți (Calea Dorobanţilor) (D) , Nr. 163",Cal - DOROBANŢILOR - 163; CP 010564,BUCUREŞTI SECTORUL 1,56460,Strada G-ral av. Andrei Popovici (Strada Aştrilor) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61674,Strada Gen. Andrei Popovici (Strada G-ral av. Andrei Popovici),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60159,Strada Ştefan Protopopescu (Strada Av. Ştefan Protopopescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,67,ŞCOALA GIMNAZIALĂ ”TITU MAIORESCU”,"Loc. BUCUREŞTI SECTORUL 1,  Calea Dorobanți (Calea Dorobanţilor) (D) , Nr. 163",Cal - DOROBANŢILOR - 163; CP 010564,BUCUREŞTI SECTORUL 1,56749,Intrarea Bitolia,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56426,Strada Constantin D. Aricescu (Strada Constantin Aricescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57846,"Piaţa Dorobanți (Piaţa Dorobanţilor, Piaţa Dorobanţi)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57846,"Piaţa Dorobanți (Piaţa Dorobanţilor, Piaţa Dorobanţi) (D)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61462,Strada George Călinescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62805,Parcul Kalil Gibran,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62640,Strada Mihail Jora,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57453,Strada N. Constantinescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60191,Strada Puţul lui Zamfir,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,68,ŞCOALA GIMNAZIALĂ ”TITU MAIORESCU”,"Loc. BUCUREŞTI SECTORUL 1,  Calea Dorobanți (Calea Dorobanţilor) (D) , Nr. 163",Cal - DOROBANŢILOR - 163; CP 010564,BUCUREŞTI SECTORUL 1,57845,Calea Dorobanți (Calea Dorobanţilor),numere impare nr. 99 -163# numere pare nr. 98 -170#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57845,Calea Dorobanți (Calea Dorobanţilor) (D),numere impare nr. 99 -163# numere pare nr. 98 -170#,
B,BUCUREŞTI SECTORUL 1,179141,42,69,LICEUL TEORETIC ”JEAN MONNET”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Jean Monnet (Strada Grădina Bordei) , Nr. 2",Str - JEAN MONNET - 2; CP 011957,BUCUREŞTI SECTORUL 1,60181,Strada Aleksandr Sergheevici Puşkin (Strada Puşkin Alexandru),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62623,Piaţa America Latină,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56566,Strada Amiral Constantin Bălescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57156,Strada Anton Pavlovici Cehov,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56441,Strada Armindenului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62815,Bulevardul Aviatorilor,numere pare nr. 74 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56480,Bulevardul Aviatorilor (D),numere pare nr. 74 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56481,Piaţa Charles De Gaulle (Piaţa Aviatorilor) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62652,Piaţa Aviatorilor (fără imobile),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58699,Strada Barbu Iscovescu (Strada Pictor Barbu Iscovescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60410,Strada Constantin Daniel Rosenthal (Strada Pictor Daniel C. Rosenthal),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57575,Strada Crângului (Strada Crîngului),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57670,Strada Dante Alighieri,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57845,Calea Dorobanți (Calea Dorobanţilor),numere impare nr. 235 -501# numere pare nr. 228 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57845,Calea Dorobanți (Calea Dorobanţilor) (D),numere impare nr. 235 -501# numere pare nr. 228 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58403,Strada Jean Monnet (Strada Grădina Bordei) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58502,Strada Heleşteului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58512,Strada Herăstrău,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59483,Strada Ion Negulici (Strada Pictor Ion Negulici),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61191,Strada Ivan Sergheevici Turgheniev (Strada Turgheniev),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62098,Strada Jean Monnet (Strada Grădina Bordei),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61096,Strada Lev N. Tolstoi (Strada Lev Nicolaevici Tolstoi),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60024,Strada Marin Popa (Strada Av. Marin Popa),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58395,Strada Maxim Gorki,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62044,Bulevardul Mircea Eliade (Bulevardul Mihail Ivanovici Kalinin),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60132,Bulevardul Primăverii,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,70,LICEUL TEORETIC ”JEAN MONNET”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Jean Monnet (Strada Grădina Bordei) , Nr. 2",Str - JEAN MONNET - 2; CP 011957,BUCUREŞTI SECTORUL 1,56761,Strada Col. Constantin Blaremberg,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62830,Piaţa Comandor Aviator (R) Tudor Greceanu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59088,Strada Cpt. Gheorghe Mărăşoiu (Strada Cpt. av. Gheorghe Mărăşoiu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57845,Calea Dorobanți (Calea Dorobanţilor),numere impare nr. 165 -233# numere pare nr. 182 -226#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57845,Calea Dorobanți (Calea Dorobanţilor) (D),numere impare nr. 165 -233# numere pare nr. 182 -226#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61592,Strada Emile Zola (Strada Zola Emile),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59698,Strada Ermil Pangratti (Strada Ing. Ermil Pangrati),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59412,Strada Gavriil Musicescu (Strada Gavril Musicescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59294,Strada Gheorghe Moceanu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57172,Strada Grigore Cerchez (Strada Arh. Grigore Cerchez),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59326,Strada Grigore Mora (Strada Dr. Grigore Mora),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58431,Strada Grigore Niculae (Strada Av. Niculaie Grigore),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56574,Strada Ing. Gheorghe Balş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57525,Strada Ing. Nicolae Costinescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61031,Strada Jean Texier (Strada Av. Jean Texier),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61030,Strada Lt. Iuliu Tetrat (Strada Lt. Av. Iuliu Tetrat),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56670,Strada Lt. Radu Beller (Strada Lt. av. Radu Beller),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59840,Strada Lt. Şerban Petrescu (Strada Lt. av. Şerban Petrescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59319,Strada Moliere,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,21296,Piaţa Monseniorul Vladimir Ghika,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59417,Strada Muzeul Zambaccian,numere impare nr. 3 -33# numere pare nr. 10 -34# nr. 74 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61341,"Strada Nicolae I. Velescu (Strada Niculae Velescu, Strada Av. Nicolae Velescu)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60805,Strada Nicolae Starostescu Cucu (Strada Ing. Niculescu Cucu Starostescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61341,"Strada Nicolae I. Velescu (Strada Niculae Velescu, Strada Av. Nicolae Velescu) (D)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58377,Strada Nikolai Gogol,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56346,Strada Sg. Gheorghe Anghel,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61413,Strada Simon Bolivar,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59328,Strada Sold. Octavian Moraru (Strada Octavian Moraru),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60852,Strada Sold. Virgil Stoianovici (Strada Slt. Virgil Stoianovici),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60987,Strada Teheran,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,71,COLEGIUL ECONOMIC ”V. MADGEARU”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Dacia , Nr. 34",Bld - DACIA - 34; CP 010414,BUCUREŞTI SECTORUL 1,62031,Piaţa Alexandru Lahovari (Piaţa Cosmonauţilor),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56437,Intrarea Armaşului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57511,Piaţa Alexandru Lahovari (Piaţa Cosmonauţilor) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57512,Strada George Enescu (Strada Cosmonauţilor) (D),numere impare nr. 35 -501# numere pare nr. 30 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57415,Strada Cristofor Columb (Strada George Constantinescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57652,Bulevardul Dacia,numere impare nr. 43 -67# numere pare nr. 32 -50# nr. 117#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57653,Intrarea Dacilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62032,Strada George Enescu (Strada Cosmonauţilor),numere impare nr. 35 -501# numere pare nr. 30 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58434,Strada G-ral Eremia Grigorescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56671,Strada Tache D. Ionescu (Strada Nikos Beloiannis) (D),numere impare nr. 27 -501#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60607,Intrarea Sfatului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62013,Strada Tache Ionescu (Strada Tache D. Ionescu),numere impare nr. 27 -501#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61238,Intrarea Urali,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,72,COLEGIUL ECONOMIC ”V. MADGEARU”,"Loc. BUCUREŞTI SECTORUL 1,  Bulevardul Dacia , Nr. 34",Bld - DACIA - 34; CP 010414,BUCUREŞTI SECTORUL 1,61518,Strada Alexandru D. Xenopol (Strada Alexandru Xenopol),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60386,Strada C. A. Rosetti,numere impare nr. 15 -15# numere pare nr. 14 -20#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58997,Strada Dionisie Lupu,numere impare nr. 43 -501# numere pare nr. 48 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58750,Strada Jules Michelet,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61360,Strada Pictor Arthur Verona,numere impare nr. 1 -`21# numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59914,Strada Pitar Moş,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,73,ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI,"Loc. BUCUREŞTI SECTORUL 1,  Piaţa Romană , Nr. 6",Pţa - ROMANĂ - 6; CP 010374,BUCUREŞTI SECTORUL 1,58684,Bulevardul Lascăr Catargiu (Bulevardul Ana Ipătescu) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59023,Bulevardul G-ral Gheorghe Magheru,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62331,Bulevardul Lascăr Catargiu (Bulevardul Ana Ipătescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60363,Piaţa Romană,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61433,Strada Visarion,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,74,UNIVERSITATEA DE ARHITECTURĂ ŞI URBANISM ION MINCU,"Loc. BUCUREŞTI SECTORUL 1,  Strada Academiei , Nr. 18 - 20",Str - ACADEMIEI - 18-20; CP 010014,BUCUREŞTI SECTORUL 1,56649,Strada Batişte (Strada Batiştei),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56561,Bulevardul Nicolae Bălcescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,75,UNIVERSITATEA DE ARHITECTURĂ ŞI URBANISM ION MINCU,"Loc. BUCUREŞTI SECTORUL 1,  Strada Academiei , Nr. 18 - 20",Str - ACADEMIEI - 18-20; CP 010014,BUCUREŞTI SECTORUL 1,61605,Strada Ion Cîmpineanu (Strada 13 Decembrie) (D),numere impare nr. 1 -15# numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,9104,Piaţa 21 Decembrie 1989 (Piaţa 21 Decembrie),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56211,Strada Academiei,numere impare nr. 7 -501# numere pare nr. 14 -500#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60673,Strada Anastasie Simu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58160,Strada Benjamin Franklin,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56735,Strada Biserica Enei (Strada Arhitecturii),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56828,Strada Boteanu,numere impare nr. 3 -33# numere pare nr. 4 -8#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60386,Strada C. A. Rosetti,numere impare nr. 1 -13# numere pare nr. 2 -12#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57423,Pasajul Comedia,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58023,Strada Constantin Esarcu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62819,Intrarea Cristian Popişteanu (Strada Cristian Popişteanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62059,Strada Demetru I. Dobrescu (Strada Dem. I. Dobrescu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57947,Strada Edgar Quinet,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57988,Strada Episcopiei (Strada Ateneului),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62006,Strada Ion Câmpineanu (Strada Ion Cîmpineanu),numere impare nr. 1 -15# numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57267,Strada Cpt. p.m. Nicolae Florin Creţu (Strada Ion Cîmpineanu) (D),numere impare nr. 1 -15# numere pare nr. 2 -18#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62759,Intrarea Jean Georgescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61885,Strada Jean Georgescu (Strada Ministerului) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59048,Pasajul Majestic,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58384,Strada Nicolae Golescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59604,Strada Dem. I. Dobrescu (Strada Oneşti) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62812,Piaţa Tricolorului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61379,Pasajul Victoriei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,76,ŞCOALA GIMNAZIALĂ NR.5,"Loc. BUCUREŞTI SECTORUL 1,  Calea Victoriei , Nr. 114",Cal - VICTORIEI - 114; CP 010092,BUCUREŞTI SECTORUL 1,56328,Intrarea Amzei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56731,Intrarea Biserica Albă (Intrarea Livezeni),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56733,Strada Biserica Amzei (Strada Gladiolelor),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57590,"Strada Christian Tell, general (Strada G-ral Cristian Tell)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57512,Strada George Enescu (Strada Cosmonauţilor) (D),numere impare nr. 1 -33# numere pare nr. 2 -28#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57652,Bulevardul Dacia,numere impare nr. 1 -33# numere pare nr. 2 -24#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59164,Strada D. I. Mendeleev (Strada Ivanovici D. Mendeleev),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62032,Strada George Enescu (Strada Cosmonauţilor),numere impare nr. 1 -33# numere pare nr. 2 -28#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62212,Strada Georges Clemenceau (Strada Pery Gabriel),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57589,Intrarea G-ral Cristian Tell,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57590,"Strada Christian Tell, general (Strada G-ral Cristian Tell) (D)",integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62141,Strada Henri Coandă (Strada I. C. Frimu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58175,Strada Henri Coandă (Strada I. C. Frimu) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57571,Strada Nicolae Creţulescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58674,Intrarea Nicolae Iorga,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58675,Strada Nicolae Iorga,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56671,Strada Tache D. Ionescu (Strada Nikos Beloiannis) (D),numere impare nr. 1 -25# numere pare nr. 2 -16#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59864,Strada Piaţa Amzei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60644,Intrarea Sibioara,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62013,Strada Tache Ionescu (Strada Tache D. Ionescu),numere impare nr. 1 -25# numere pare nr. 2 -16#,
B,BUCUREŞTI SECTORUL 1,179141,42,77,COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Gen. Gheorghe Manu (Strada Gheorghe Manu) , Nr. 30",Str - GHEORGHE MANU - 30; CP 010447,BUCUREŞTI SECTORUL 1,58653,Intrarea Cap. David Ionescu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56472,Intrarea Dan Augustin (Intrarea Sg. Dan Augustin),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58181,Intrarea Frumoasă,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58182,Strada Frumoasă,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62144,Strada Gen. Gheorghe Manu (Strada Gheorghe Manu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58854,Intrarea Lt. Dumitru Lemnea,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58855,Strada Gheorghe Manu (Strada Lt. Dumitru Lemnea) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59559,Strada Occidentului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57682,Intrarea Serg. Nicolae Dascălu (Intrarea Sg. Niculae Dascălu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60600,Intrarea Sevastopol,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60601,Strada Sevastopol,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,78,COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Gen. Gheorghe Manu (Strada Gheorghe Manu) , Nr. 30",Str - GHEORGHE MANU - 30; CP 010447,BUCUREŞTI SECTORUL 1,59626,Strada Gina Patrichi,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58443,Calea Griviţei,numere impare nr. 1 -117# numere pare nr. 2 -78#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59626,Strada Gina Patrichi (Strada Orlando) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60185,Strada Puţul de Piatra,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62189,Piaţa Sfinţii Voievozi (Piaţa Voievozilor),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60620,Strada Sfinţii Voievozi (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62190,Strada Sfinţii Voievozi (Strada Voievozilor),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61249,Strada Vasile Urseanu (Strada Amiral Vasile Urseanu),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61936,Piaţa Sfinţii Voievozi (Piaţa Voievozilor) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61937,Strada Sfinţii Voievozi (Strada Voievozilor) (D),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,79,COLEGIUL TEHNIC DE ARHITECTURĂ ŞI LUCRĂRI PUBLICE ”IOAN N. SOCOLESCU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Occidentului , Nr. 12",Str - OCCIDENTULUI - 12; CP 010983,BUCUREŞTI SECTORUL 1,61015,Intrarea Ecaterina Teodoroiu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,61016,Strada Ecaterina Teodoroiu,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59363,Strada Mihail Moxa,integral#,
